State,Year,Total_Rainfall_mm,Average_Annual_Rainfall_per_sqkm
Kelantan,2002,1886.85,0.3992724210685665
Kelantan,2003,2534.85,0.3992724210685665
Kelantan,2004,2340.35,0.3992724210685665
Kelantan,2005,2665.0,0.3992724210685665
Kelantan,2006,2393.2,0.3992724210685665
Kelantan,2007,2555.7,0.3992724210685665
Kelantan,2008,3349.25,0.3992724210685665
Kelantan,2009,3170.55,0.3992724210685665
Kelantan,2010,2605.5,0.3992724210685665
Kelantan,2011,3363.0,0.3992724210685665
Kelantan,2012,2796.9,0.3992724210685665
Kelantan,2013,2684.4,0.3992724210685665
Kelantan,2014,2973.9133333333334,0.3992724210685665
Kelantan,2015,2186.2000000000003,0.3992724210685665
Kelantan,2016,2566.6266666666666,0.3992724210685665
Kelantan,2017,3238.4833333333336,0.3992724210685665
Kelantan,2018,2758.0866666666666,0.3992724210685665
Kelantan,2019,2058.4224999999997,0.3992724210685665
Kelantan,2020,3145.3425,0.3992724210685665
Kelantan,2021,2796.7,0.3992724210685665
Melaka,2000,2156.7,1.2265453296703297
Melaka,2001,2220.1,1.2265453296703297
Melaka,2002,2082.3,1.2265453296703297
Melaka,2003,1824.2,1.2265453296703297
Melaka,2004,1615.5,1.2265453296703297
Melaka,2005,1875.5,1.2265453296703297
Melaka,2006,2178.1,1.2265453296703297
Melaka,2007,2078.6,1.2265453296703297
Melaka,2008,2194.4,1.2265453296703297
Melaka,2009,1878.0,1.2265453296703297
Melaka,2010,1992.8,1.2265453296703297
Melaka,2011,1845.2,1.2265453296703297
Melaka,2012,1883.2,1.2265453296703297
Melaka,2013,1389.8,1.2265453296703297
Melaka,2014,1709.385,1.2265453296703297
Melaka,2015,2197.13,1.2265453296703297
Melaka,2016,2102.69,1.2265453296703297
Melaka,2017,2752.36,1.2265453296703297
Melaka,2018,2014.06,1.2265453296703297
Melaka,2019,1824.675,1.2265453296703297
Melaka,2020,1762.865,1.2265453296703297
Melaka,2021,2506.0,1.2265453296703297
Negeri Sembilan,2014,1571.15,0.2821870860219649
Negeri Sembilan,2015,1872.54,0.2821870860219649
Negeri Sembilan,2016,1694.14,0.2821870860219649
Negeri Sembilan,2017,2428.9,0.2821870860219649
Negeri Sembilan,2018,1720.0,0.2821870860219649
Negeri Sembilan,2019,1860.68,0.2821870860219649
Negeri Sembilan,2020,2059.51,0.2821870860219649
Pahang,2000,3019.7,0.2845255555248083
Pahang,2001,3185.55,0.2845255555248083
Pahang,2002,2676.7,0.2845255555248083
Pahang,2003,3387.7,0.2845255555248083
Pahang,2004,2863.3,0.2845255555248083
Pahang,2005,2798.2,0.2845255555248083
Pahang,2006,2877.45,0.2845255555248083
Pahang,2007,3222.95,0.2845255555248083
Pahang,2008,3644.55,0.2845255555248083
Pahang,2009,3379.1,0.2845255555248083
Pahang,2010,2385.0,0.2845255555248083
Pahang,2011,3276.35,0.2845255555248083
Pahang,2012,3072.6000000000004,0.2845255555248083
Pahang,2013,3131.5,0.2845255555248083
Pahang,2014,2895.6433333333334,0.2845255555248083
Pahang,2015,1928.8,0.2845255555248083
Pahang,2016,1966.8466666666666,0.2845255555248083
Pahang,2017,2766.6683333333335,0.2845255555248083
Pahang,2018,2376.695,0.2845255555248083
Pahang,2019,1824.6533333333334,0.2845255555248083
Pahang,2020,2301.741666666667,0.2845255555248083
Pahang,2021,2641.875,0.2845255555248083
Penang,2014,2592.91,
Penang,2015,2404.79,
Penang,2016,2109.83,
Penang,2017,2129.2599999999998,
Penang,2018,2656.41,
Penang,2019,2457.61,
Penang,2020,1889.75,
Perak,2000,2304.15,0.302564433427281
Perak,2001,1960.05,0.302564433427281
Perak,2002,1820.5,0.302564433427281
Perak,2003,2764.3500000000004,0.302564433427281
Perak,2004,2209.9,0.302564433427281
Perak,2005,2025.0,0.302564433427281
Perak,2006,2639.25,0.302564433427281
Perak,2007,2160.85,0.302564433427281
Perak,2008,2879.55,0.302564433427281
Perak,2009,2591.15,0.302564433427281
Perak,2010,2353.35,0.302564433427281
Perak,2011,2526.7,0.302564433427281
Perak,2012,2306.2,0.302564433427281
Perak,2013,2319.7,0.302564433427281
Perak,2014,2174.2766666666666,0.302564433427281
Perak,2015,2308.06,0.302564433427281
Perak,2016,1881.8725,0.302564433427281
Perak,2017,2501.48,0.302564433427281
Perak,2018,2488.5325000000003,0.302564433427281
Perak,2019,2191.6975,0.302564433427281
Perak,2020,2485.235,0.302564433427281
Perak,2021,2336.866666666667,0.302564433427281
Perlis,2000,1947.0,2.3437967635287973
Perlis,2001,1789.4,2.3437967635287973
Perlis,2002,1902.6,2.3437967635287973
Perlis,2003,1837.3,2.3437967635287973
Perlis,2004,1721.8,2.3437967635287973
Perlis,2005,2155.3,2.3437967635287973
Perlis,2006,2164.8,2.3437967635287973
Perlis,2007,2128.6,2.3437967635287973
Perlis,2008,1772.4,2.3437967635287973
Perlis,2009,2107.1,2.3437967635287973
Perlis,2010,2201.9,2.3437967635287973
Perlis,2011,2162.0,2.3437967635287973
Perlis,2012,2065.6,2.3437967635287973
Perlis,2013,1714.2,2.3437967635287973
Perlis,2014,2060.12,2.3437967635287973
Perlis,2015,2177.465,2.3437967635287973
Perlis,2016,1636.545,2.3437967635287973
Perlis,2017,1938.205,2.3437967635287973
Perlis,2018,1794.54,2.3437967635287973
Perlis,2019,1688.955,2.3437967635287973
Perlis,2020,1971.5700000000002,2.3437967635287973
Perlis,2021,2081.0,2.3437967635287973
Pulau Pinang,2000,2579.7,4.398705016357688
Pulau Pinang,2001,2286.3,4.398705016357688
Pulau Pinang,2002,1860.5,4.398705016357688
Pulau Pinang,2003,2762.45,4.398705016357688
Pulau Pinang,2004,2102.5,4.398705016357688
Pulau Pinang,2005,2027.3,4.398705016357688
Pulau Pinang,2006,2209.6,4.398705016357688
Pulau Pinang,2007,2165.8,4.398705016357688
Pulau Pinang,2008,2351.7,4.398705016357688
Pulau Pinang,2009,2806.9,4.398705016357688
Pulau Pinang,2010,2053.9,4.398705016357688
Pulau Pinang,2011,2411.7,4.398705016357688
Pulau Pinang,2012,2272.7,4.398705016357688
Pulau Pinang,2013,2531.6,4.398705016357688
Pulau Pinang,2014,2071.05,4.398705016357688
Pulau Pinang,2015,2744.15,4.398705016357688
Pulau Pinang,2016,2366.0,4.398705016357688
Pulau Pinang,2017,2633.0,4.398705016357688
Pulau Pinang,2018,2374.7,4.398705016357688
Pulau Pinang,2019,1949.5500000000002,4.398705016357688
Pulau Pinang,2020,1996.0,4.398705016357688
Pulau Pinang,2021,2107.5,4.398705016357688
Sabah,2000,2574.625,0.1449259531602566
Sabah,2001,2899.85,0.1449259531602566
Sabah,2002,1733.125,0.1449259531602566
Sabah,2003,2404.225,0.1449259531602566
Sabah,2004,2323.75,0.1449259531602566
Sabah,2005,2580.3,0.1449259531602566
Sabah,2006,3622.025,0.1449259531602566
Sabah,2007,2952.6,0.1449259531602566
Sabah,2008,3065.525,0.1449259531602566
Sabah,2009,2889.95,0.1449259531602566
Sabah,2010,2269.55,0.1449259531602566
Sabah,2011,3661.425,0.1449259531602566
Sabah,2012,2855.875,0.1449259531602566
Sabah,2013,2557.85,0.1449259531602566
Sabah,2014,2609.825,0.1449259531602566
Sabah,2015,1889.925,0.1449259531602566
Sabah,2016,2234.4,0.1449259531602566
Sabah,2017,3244.275,0.1449259531602566
Sabah,2018,2512.2250000000004,0.1449259531602566
Sabah,2019,1749.7333333333333,0.1449259531602566
Sabah,2020,2372.7166666666667,0.1449259531602566
Sabah,2021,2711.866666666667,0.1449259531602566
Sarawak,2000,3648.7999999999997,0.1504086552258508
Sarawak,2001,3387.55,0.1504086552258508
Sarawak,2002,3609.05,0.1504086552258508
Sarawak,2003,3950.75,0.1504086552258508
Sarawak,2004,3754.7,0.1504086552258508
Sarawak,2005,3325.2,0.1504086552258508
Sarawak,2006,3409.45,0.1504086552258508
Sarawak,2007,4017.7,0.1504086552258508
Sarawak,2008,3643.95,0.1504086552258508
Sarawak,2009,3990.9,0.1504086552258508
Sarawak,2010,3825.55,0.1504086552258508
Sarawak,2011,3931.2,0.1504086552258508
Sarawak,2012,3266.3,0.1504086552258508
Sarawak,2013,3625.3999999999996,0.1504086552258508
Sarawak,2014,3032.55,0.1504086552258508
Sarawak,2015,3427.5800000000004,0.1504086552258508
Sarawak,2016,3767.6400000000003,0.1504086552258508
Sarawak,2017,3837.0,0.1504086552258508
Sarawak,2018,3918.5199999999995,0.1504086552258508
Sarawak,2019,2314.8625,0.1504086552258508
Sarawak,2020,3961.35,0.1504086552258508
Sarawak,2021,3991.925,0.1504086552258508
Selangor,2000,2488.9,1.0082833873924693
Selangor,2001,2431.2,1.0082833873924693
Selangor,2002,2255.0,1.0082833873924693
Selangor,2003,2750.1,1.0082833873924693
Selangor,2004,2240.85,1.0082833873924693
Selangor,2005,1871.65,1.0082833873924693
Selangor,2006,2718.9,1.0082833873924693
Selangor,2007,2504.8,1.0082833873924693
Selangor,2008,2685.6,1.0082833873924693
Selangor,2009,2478.3,1.0082833873924693
Selangor,2010,2684.9,1.0082833873924693
Selangor,2011,2150.4,1.0082833873924693
Selangor,2012,2685.95,1.0082833873924693
Selangor,2013,2247.75,1.0082833873924693
Selangor,2014,2261.52,1.0082833873924693
Selangor,2015,2918.445,1.0082833873924693
Selangor,2016,2482.925,1.0082833873924693
Selangor,2017,2615.51,1.0082833873924693
Selangor,2018,3048.235,1.0082833873924693
Selangor,2019,2765.9399999999996,1.0082833873924693
Selangor,2020,2996.63,1.0082833873924693
Selangor,2021,2812.1000000000004,1.0082833873924693
Selangor-Wilayah,2014,2005.06,
Selangor-Wilayah,2015,2540.04,
Selangor-Wilayah,2016,2143.57,
Selangor-Wilayah,2017,3023.67,
Selangor-Wilayah,2018,2241.85,
Selangor-Wilayah,2019,2377.15,
Selangor-Wilayah,2020,2569.16,
Terengganu,2000,3187.0,0.2529716696805305
Terengganu,2001,2580.4,0.2529716696805305
Terengganu,2002,2329.1,0.2529716696805305
Terengganu,2003,3341.7,0.2529716696805305
Terengganu,2004,2194.4,0.2529716696805305
Terengganu,2005,2825.0,0.2529716696805305
Terengganu,2006,2047.0,0.2529716696805305
Terengganu,2007,2129.0,0.2529716696805305
Terengganu,2008,3609.6,0.2529716696805305
Terengganu,2009,3593.6,0.2529716696805305
Terengganu,2010,2363.2,0.2529716696805305
Terengganu,2011,3645.4,0.2529716696805305
Terengganu,2012,3094.4,0.2529716696805305
Terengganu,2013,2908.0,0.2529716696805305
Terengganu,2014,2966.3599999999997,0.2529716696805305
Terengganu,2015,2212.035,0.2529716696805305
Terengganu,2016,3134.41,0.2529716696805305
Terengganu,2017,3129.08,0.2529716696805305
Terengganu,2018,2985.8450000000003,0.2529716696805305
Terengganu,2019,2365.4933333333333,0.2529716696805305
Terengganu,2020,3284.7933333333335,0.2529716696805305
Terengganu,2021,2518.3999999999996,0.2529716696805305
Wilayah Persekutuan Kuala Lumpur,2000,2488.9,
Wilayah Persekutuan Kuala Lumpur,2001,2431.2,
Wilayah Persekutuan Kuala Lumpur,2002,2255.0,
Wilayah Persekutuan Kuala Lumpur,2003,2750.1,
Wilayah Persekutuan Kuala Lumpur,2004,2240.85,
Wilayah Persekutuan Kuala Lumpur,2005,1871.65,
Wilayah Persekutuan Kuala Lumpur,2006,2718.9,
Wilayah Persekutuan Kuala Lumpur,2007,2504.8,
Wilayah Persekutuan Kuala Lumpur,2008,2685.6,
Wilayah Persekutuan Kuala Lumpur,2009,2478.3,
Wilayah Persekutuan Kuala Lumpur,2010,2684.9,
Wilayah Persekutuan Kuala Lumpur,2011,2150.4,
Wilayah Persekutuan Kuala Lumpur,2012,2685.95,
Wilayah Persekutuan Kuala Lumpur,2013,2247.75,
Wilayah Persekutuan Kuala Lumpur,2014,2390.0,
Wilayah Persekutuan Kuala Lumpur,2015,3044.8333333333335,
Wilayah Persekutuan Kuala Lumpur,2016,2595.9333333333334,
Wilayah Persekutuan Kuala Lumpur,2017,2479.6666666666665,
Wilayah Persekutuan Kuala Lumpur,2018,3317.1666666666665,
Wilayah Persekutuan Kuala Lumpur,2019,2895.8333333333335,
Wilayah Persekutuan Kuala Lumpur,2020,3139.2000000000003,
Wilayah Persekutuan Kuala Lumpur,2021,2812.1000000000004,
Wilayah Persekutuan Labuan,2000,3678.1,
Wilayah Persekutuan Labuan,2001,3652.6,
Wilayah Persekutuan Labuan,2002,3061.2,
Wilayah Persekutuan Labuan,2003,3207.2,
Wilayah Persekutuan Labuan,2004,2407.9,
Wilayah Persekutuan Labuan,2005,3761.1,
Wilayah Persekutuan Labuan,2006,3151.8,
Wilayah Persekutuan Labuan,2007,3277.1,
Wilayah Persekutuan Labuan,2008,3823.4,
Wilayah Persekutuan Labuan,2009,2927.4,
Wilayah Persekutuan Labuan,2010,4628.6,
Wilayah Persekutuan Labuan,2011,3410.8,
Wilayah Persekutuan Labuan,2012,3323.4,
Wilayah Persekutuan Labuan,2013,3114.2,
Wilayah Persekutuan Labuan,2014,3054.8,
Wilayah Persekutuan Labuan,2015,2840.4,
Wilayah Persekutuan Labuan,2016,3117.5,
Wilayah Persekutuan Labuan,2017,4938.9,
Wilayah Persekutuan Labuan,2018,3033.2,
Wilayah Persekutuan Labuan,2019,3433.6,
Wilayah Persekutuan Labuan,2020,4301.3,
Wilayah Persekutuan Labuan,2021,4127.5,
Wilayah Persekutuan Putrajaya,2000,2488.9,
Wilayah Persekutuan Putrajaya,2001,2431.2,
Wilayah Persekutuan Putrajaya,2002,2255.0,
Wilayah Persekutuan Putrajaya,2003,2750.1,
Wilayah Persekutuan Putrajaya,2004,2240.85,
Wilayah Persekutuan Putrajaya,2005,1871.65,
Wilayah Persekutuan Putrajaya,2006,2718.9,
Wilayah Persekutuan Putrajaya,2007,2504.8,
Wilayah Persekutuan Putrajaya,2008,2685.6,
Wilayah Persekutuan Putrajaya,2009,2478.3,
Wilayah Persekutuan Putrajaya,2010,2684.9,
Wilayah Persekutuan Putrajaya,2011,2150.4,
Wilayah Persekutuan Putrajaya,2012,2685.95,
Wilayah Persekutuan Putrajaya,2013,2247.75,
Wilayah Persekutuan Putrajaya,2014,2390.0,
Wilayah Persekutuan Putrajaya,2015,3044.8333333333335,
Wilayah Persekutuan Putrajaya,2016,2595.9333333333334,
Wilayah Persekutuan Putrajaya,2017,2479.6666666666665,
Wilayah Persekutuan Putrajaya,2018,3317.1666666666665,
Wilayah Persekutuan Putrajaya,2019,2895.8333333333335,
Wilayah Persekutuan Putrajaya,2020,3139.2000000000003,
Wilayah Persekutuan Putrajaya,2021,2812.1000000000004,
